ID_c,N_c,N_clg,N_c_clg,Y_clg,Y_c,C_clg,C_c,ID_s,SQM,CA,VAR,SI,HAR,LAT,VC_c_2d,VC_c_3d,SD(UTCI)_5:00,SD(UTCI)_6:00,SD(UTCI)_7:00,SD(UTCI)_8:00,SD(UTCI)_9:00,SD(UTCI)_10:00,SD(UTCI)_11:00,SD(UTCI)_12:00,SD(UTCI)_13:00,SD(UTCI)_14:00,SD(UTCI)_15:00,SD(UTCI)_16:00,SD(UTCI)_17:00,SD(UTCI)_18:00,SD(UTCI)_19:00,SD(UTCI)_20:00,SD(UTCI)_21:00,SD(UTCI)_22:00,SD(UTCI)_23:00,SD(UTCI)_0:00,SD(UTCI)_1:00,SD(UTCI)_2:00,SD(UTCI)_3:00,SD(UTCI)_4:00
31,Cloister,Queens,Cloister_Queens,1465,1490,1400s,1400s,CW_11,225*225,559.921,1.650,0.991,1.245,70.401,0.000,0.050,0.266018,3.244874,4.45791,3.603256,3.20495,2.090909,1.922004,0.343909,0.325153,1.261343,1.817623,2.501613,2.979185,3.1006,0.972488,0.119973,0.526647,0.391183,0.194289,0.210286,0.119342,0.117296,0.12558,0.129199
32,Pump,Queens,Pump_Queens,1465,1680,1400s,1600s,CW_11,225*225,147.624,4.155,1.061,1.658,68.325,0.000,0.000,0.305576,0.155336,2.996968,4.420346,3.644479,3.552894,3.219953,2.798817,2.83796,3.246766,3.659091,3.885824,3.826784,2.77976,0.096877,0.04778,0.379563,0.184331,0.150611,0.159457,0.155599,0.152336,0.162215,0.170312
33,Walnut_Tree,Queens,Walnut_Tree_Queens,1465,1620,1400s,1600s,CW_11,225*225,1401.403,1.571,1.074,1.362,81.482,0.508,0.183,0.530431,3.474801,4.248492,3.822131,3.589699,3.062267,2.795587,2.567353,2.693066,2.937734,3.285697,3.557219,3.659147,2.814759,0.634952,0.299956,0.692503,0.575135,0.421282,0.450257,0.361057,0.359069,0.369616,0.381989
34,Friars,Queens,Friars_Queens,1465,1885,1400s,1800s,CW_11,225*225,1324.834,1.731,1.231,1.692,81.776,0.527,0.000,0.377499,4.049378,4.307138,3.207937,3.410808,2.580374,2.450598,1.850989,1.895321,2.190329,2.839801,3.041713,3.429336,3.115841,0.728171,0.206,0.858348,0.398178,0.24317,0.261416,0.206541,0.186586,0.197953,0.193925
35,Front,Kings,Front_Kings,1441,1820,1400s,1800s,CW_12,270*270,6713.947,1.032,1.000,1.066,175.800,0.616,0.000,1.350512,2.448092,1.607217,1.058214,1.616499,1.36823,1.314959,1.270803,1.59912,1.909968,2.351801,2.882024,3.2132,3.176676,0.962273,0.285092,0.996599,0.810242,0.634915,0.687874,0.491051,0.484109,0.554042,0.516909
36,Chetwynd,Kings,Chetwynd_Kings,1441,1870,1400s,1800s,CW_12,270*270,486.260,3.766,1.045,1.237,175.846,0.000,0.000,0.045868,0.087019,4.415127,4.156776,3.860849,3.336061,3.122826,2.80369,2.846272,3.234347,3.621717,3.75964,3.683599,1.763248,0.017608,0.042963,0.124976,0.067835,0.072778,0.080182,0.076516,0.074741,0.081869,0.087289
37,Webbs,Kings,Webbs_Kings,1441,1908,1400s,1900s,CW_12,270*270,1042.880,2.777,1.150,2.525,85.516,0.103,0.027,0.334166,4.037406,4.059179,3.010944,3.422851,2.746035,2.536933,2.162935,2.210217,2.518546,3.025278,3.202231,3.324298,3.2021,0.682442,0.060118,0.227862,0.311657,0.408769,0.446158,0.290287,0.274703,0.320525,0.284263
38,Provosts,Kings,Provosts_Kings,1441,1890,1400s,1800s,CW_12,270*270,1740.280,1.819,1.056,1.161,176.074,0.912,0.244,0.57045,3.892783,4.541088,4.106104,3.862607,3.288921,2.930362,2.662946,2.836705,3.158032,3.478024,3.721741,3.443287,1.875194,0.277948,0.368829,0.7043,0.589655,0.542724,0.56577,0.501467,0.496871,0.521381,0.512014
39,Tree,Gonville_Caius,Tree_Gonville_Caius,1348,1853,1300s,1800s,CW_13,375*375,1800.298,1.750,1.120,1.809,16.361,0.729,0.490,0.549353,1.961637,3.592278,3.931218,3.751244,3.596377,3.16518,3.033041,3.021819,3.229849,3.396121,3.632558,3.671429,3.067197,0.909441,0.384141,0.70447,0.565511,0.441027,0.455412,0.470061,0.471476,0.47286,0.487137
40,Gonville,Gonville_Caius,Gonville_Gonville_Caius,1348,1441,1300s,1400s,CW_13,375*375,655.790,2.349,1.004,1.035,5.546,0.426,0.000,0.106708,4.188028,3.821381,1.455378,2.82861,2.414286,2.189352,2.112454,2.119023,2.772638,3.379221,3.601154,3.803762,2.775092,0.02969,0.052228,0.224965,0.172565,0.149429,0.16022,0.142695,0.138202,0.149376,0.156167
41,Caius,Gonville_Caius,Caius_Gonville_Caius,1348,1565,1300s,1500s,CW_13,375*375,985.655,1.799,1.062,1.314,1.763,0.402,0.000,0.259548,3.652298,3.931401,2.155313,1.56502,0.722631,0.865229,0.77362,0.952071,1.839666,2.506464,2.820089,3.429289,3.034265,0.1991,0.091817,0.573621,0.420373,0.215655,0.245212,0.124498,0.120493,0.153637,0.134399
42,Masters,Gonville_Caius,Masters_Gonville_Caius,1348,1717,1300s,1700s,CW_13,375*375,801.222,1.699,1.036,1.333,2.835,0.698,0.719,0.397645,0.52478,2.730345,3.848571,3.453713,3.338997,2.791476,2.800161,2.741488,2.961878,2.640256,2.758021,2.571813,0.913488,0.189663,0.284842,0.412688,0.33439,0.317893,0.327576,0.323964,0.327557,0.337234,0.342317
43,Front,Trinity_Hall,Front_Trinity_Hall,1350,1872,1300s,1800s,CW_13,375*375,849.939,1.926,1.018,1.438,91.541,0.520,0.000,0.167576,3.4803,4.385723,3.363125,3.51401,2.621018,2.363899,1.560517,1.57947,1.551566,1.933713,2.022468,2.487064,2.770446,1.207492,0.098518,0.395068,0.248173,0.156245,0.17194,0.150589,0.14727,0.154817,0.16514
44,North,Trinity_Hall,North_Trinity_Hall,1350,1952,1300s,1900s,CW_13,375*375,414.813,3.370,1.321,3.412,91.821,0.000,0.324,0.456888,0.257023,4.001921,4.070872,3.870944,3.477689,3.094638,2.862146,2.908773,3.082365,3.26833,3.402418,3.593217,2.898866,0.479607,0.309755,0.53792,0.407893,0.368583,0.389016,0.363769,0.369756,0.384126,0.388561
45,Avery,Trinity_Hall,Avery_Trinity_Hall,1350,1864,1300s,1800s,CW_13,375*375,287.248,3.854,1.097,1.188,25.344,0.445,0.000,0.079819,0.082663,4.010638,4.314194,4.040538,2.962496,2.675259,1.474118,1.486472,0.279147,0.275858,0.238229,3.318122,2.862186,0.592711,0.058211,0.161863,0.100883,0.116792,0.123952,0.120941,0.118247,0.126073,0.132791
46,Cherry_Tree,Trinity_Hall,Cherry_Tree_Trinity_Hall,1350,1890,1300s,1800s,CW_13,375*375,496.876,1.685,1.009,1.109,4.335,0.130,0.134,0.816402,3.867094,4.074301,2.822055,2.661352,2.183065,2.067064,1.909653,1.936376,1.789216,2.105397,2.301147,3.164147,3.081038,1.18648,0.247464,0.692899,0.587334,0.530966,0.575567,0.413914,0.427331,0.487742,0.451595
